id,Timestamp,Представьтесь в 2-3 фразах,Работали ли Вы с Jupyter notebooks?,Что Вы ждете от курса?,Потом мы прямо этот же набор данных поанализируем с Pandas. Так что какой Ваш любимый вид спорта?,"Ладно, посерьезней: согласны ли Вы на обработку персональных данных?","Какие оцениваете свой уровень математической подготовки? (матан, линал, теорвер)","Чему равна дисперсия равномерного на [0,6] распределения?","Найдите минимум функции 3x^4-8x^3+6x^2-12 на отрезке [-3,3]",Сколько параметров у нормального распределения?,Сможете написать на Python генератор чисел Фибоначчи?,"Хорошо, а готовы к началу курса (6 сентября 2017) освоить азы Python? На уровне Code Academy, DataCamp или github.com/Yorko/python_intro",Оцените свой уровень владения GitHub,"Посоветуйте хороший фильм в стиле ""Игра в имитацию"" :)"
748,2017/03/06 10:52:44 am GMT+3,"Ремонтирую промоборудование, но тема анализа данных заинтересовала",Да,"Получить базовые знания по теме анализа данных, прежде чем браться за углублённые курсы",бег ,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,"не смотрел ""Игра в имитацию"""
749,2017/03/06 11:07:27 am GMT+3,программирую программы,Да,Хочу начать врубаться в ML,Бег,Да,2,,,,Да,Да,Проф,
750,2017/03/06 11:33:17 am GMT+3,Есть желание изучить python.,Нет,Знаний,Шашки,Да,2,2,-12,2.0,Да,Да,Могу скачать материалы,Шерлок
751,2017/03/06 11:48:35 am GMT+3,"Разработчик, есть желание получить специализацию по анализу данных. Возможно",,"Интересные практические задачки, доходчивое объяснение продвинутых более продвинутых тем.",,Да,3,,,,Да,умею,Проф,
753,2017/03/06 12:50:41 pm GMT+3,Студент НИУ ВШЭ образовательной программы Программная инженерия. ,Да,Получить начальные знания о машинном обучении.,,Да,4,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Accountant
754,2017/03/06 1:06:11 pm GMT+3,научный сотрудник университета ИТМО,Да,новый знаний и интересных задач,настольный теннис,Да,5,3,-12,2.0,Да,Да,Могу скачать материалы,
755,2017/03/06 1:28:05 pm GMT+3,BI team lead,Да,шифт карьеры,,Да,3,,,,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Гений
756,2017/03/06 1:39:20 pm GMT+3,"Меня зовут Сагайко Дмитрий, студент 4 курса Новосибирского государственного технического университета по специальноси электроэнергетика и электротехника",Нет,Хочу понять что такое машинное обучение и использовать полученную  информацию для написания диплома,сноубординг,Да,4,3,-12,2.0,Что это?,Да,По нулям,
757,2017/03/06 1:39:59 pm GMT+3,"Программист C++, C#. Работаю с базами данных PostgreSQL, MySQL",Да,Хотел бы повысить знания в области машинного обучения,Велосипед,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","""Жертвуя пешкой"" с Тоби Магвауером"
758,2017/03/06 1:44:33 pm GMT+3,qa engineer in DataScience company,Да,basic overview,football,Да,2,,,3.0,Да,Да,Проф,
760,2017/03/06 4:52:48 pm GMT+3,Hello,Да,Примеров практического применения python в задачах ML,,Да,1,3,-12,2.0,Да,Да,Могу редактировать свою копию,
761,2017/03/06 5:00:21 pm GMT+3,"Кузьмин Сергей Викторович, хороший человек, умный и красивый",Да,Стану еще более умным и красивым,Художественное диванолежание,Да,4,3,-12,2.0,Да,Да,Могу редактировать свою копию,Игры разума
764,2017/03/06 5:23:21 pm GMT+3,"Организую vk.com/dsclubspb (канал с слаке #edu_dsclub_spb, t.me/dsclub). Начинаю сама изучать датасаенс и собираю вокруг таких же единомыленников.",Да,"Структурной подачи датасаенса для самостоятельного обучения. Практику, ментроство опытных экспертов в области.
Возможно, сотрудничество в плане организации на базе моего клуба study-group по вашему курсу.",пляжный волейбол,Да,3,,-12,2.0,Да,Да,Могу редактировать свою копию,"не смотрела ещё, но может что-то их этого: Игры Разума, Шпионский мост, Вселенная Стивена Хокинга, Умница Уилл Хантинг"
